id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
2911565,46938894,0,university,3,,"Speech, Language, and Hearing Sciences Building",,,,,,2501,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911566,46938901,0,university,,,Fiske Planetarium,,,,,,2414,,Regent Drive,Boulder,,,,,,,,,,,http://www.colorado.edu/fiske/,,,,,,,,
2911567,46938893,0,university,,,Sommers-Bausch Observatory,,,,,,2475,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911568,46938900,0,dormitory,,,Kittredge Central,,,,,,2480,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,residential,,
2911569,46938905,0,university,,,Fleming Law,,,,,,2445,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911570,46938908,0,dormitory,4,,Kittredge West Hall,,,,,,2400,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
26359800,103498254,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26359801,103498255,0,yes,,,International English Center and Division of Continuing Education,,,,,,1030,,13th Street,,,,,,,,,,,,,,,,,,,,
26359805,103498259,0,yes,,,,,,,,,1305,,13th Street,,,,,,,,,,,,,,,,,,,,
53906249,168647687,0,university,,,Wolf Law,,,,,,2450,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
68682346,203657375,0,university,,,Eaton Humanities,,,,,,1610,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
69625014,205668772,0,university,,,Chemical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69625033,205668771,0,university,3,,Aerospace Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69978287,206436693,0,garage,,,Alumni Center Garage Annex,,,,,,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70075315,206682696,0,university,,,Basketball & Volleyball Practice Facility,,,,sports_centre,,,,,Boulder,,,,,,,,,,,,,,,,,,,
70278157,207202686,0,office,2,,University Admin Center Annex,,,educational_institution,,,924,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
70302286,207277409,0,church,,,University Lutheran Chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390679,207507187,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390680,207507190,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390681,207507191,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390682,207507192,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71721315,210147267,0,yes,,,Chi Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886345,215333060,0,apartments,3,,The Block,,,,,,1005,,14th Street,,,,,,,,,,,,,,,,,,,,
74886780,215335316,0,yes,,,The Ritz,,,,,,1020,,13th Street,,,,,,,,,,,,,,,,,,,,
74886783,215335319,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886784,215335321,0,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001309,215667580,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001319,215667591,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001322,215667593,0,house,,,,,,,,,2695,,Colorado Avenue,Boulder,,80302,,,,,,,,,,,,,,,,,
75001329,215667601,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001330,215667602,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001332,215667604,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032605,215705007,0,yes,,,Alpha Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032613,215705014,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75618462,216535335,0,dormitory,,,Smith Hall,,,,,,2525,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
266551986,205668774,0,university,2,,Classroom Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029043,466530280,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69983870,206450882,0,university,5,,Gold Biosciences Building,,,,,,1945,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
74886781,215335317,0,yes,,,Chi Psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75033363,215705864,0,yes,2,,,,,,,,1020,,14th Street,,,,,,,,,,,,,,,,,,,,
99710806,264685453,0,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251721117,531560860,0,yes,,,Byron R. White Touchdown Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905589,533314913,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905602,533314908,0,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68682347,203657374,0,yes,8,20,Balch Fieldhouse,,,,,,1995,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
69983865,206450883,0,university,5,,Muenzinger Psychology,,,,,,1905,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70075314,206682700,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390677,207507188,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941135,215499734,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45590850,149825017,0,university,,,ATLAS Center,,,,,,1125,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
68682345,203657393,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000751,215665687,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001326,215667598,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75686258,216703114,0,yes,1,,Folsom Bike Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,
