X,Y,id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
,,70223988,207507188,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74700073,215335319,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74700075,215335322,0,yes,,,,,,,,,1040,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74754216,215499736,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813623,215665687,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814192,215667591,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845481,215705010,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845483,215705014,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68532316,203657393,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464236,205668779,0,university,,,North Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464237,205668778,0,university,2,,Mechanical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464238,205668781,0,university,,,South Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464240,205668780,0,office,8,,Office Tower,,,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464255,205668773,0,university,,,Civil & Environmental Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464257,205668783,0,university,,,Stores & Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69814995,206436693,0,garage,,,Alumni Center Garage Annex,,,,,,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,69820556,206450883,0,university,5,,Muenzinger Psychology,,,,,,1905,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,69820561,206450882,0,university,5,,Gold Biosciences Building,,,,,,1945,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,69821429,206453460,0,yes,,,Stadium Ticket Building,,,,,,2095,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,69936428,206751727,0,shed,,,Varsity Lake Pump Station,,,,,,1500,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
