X,Y,id,osm_id,z_order,natural,name,name:en,type,ele,water,wetland,wood
-105.265238211575991,40.008346881402758,8646912,4753706117,0,tree,,,,,,,
-105.265593939546676,40.008193660212754,8646914,4753706113,0,tree,,,,,,,
-105.265424038369346,40.008345456479219,8646920,4753706118,0,tree,,,,,,,
-105.265473659236136,40.008806377334736,8646921,4753706427,0,tree,,,,,,,
-105.26547533561677,40.008704621030205,8646923,4753706429,0,tree,,,,,,,
-105.265333849091206,40.007845392135891,8646929,4753706435,0,tree,,,,,,,
-105.265484220434132,40.008918862475326,8646931,4753706426,0,tree,,,,,,,
-105.265340973708902,40.008075726835102,8646933,4753706436,0,tree,,,,,,,
-105.263615558940629,40.007816893665108,8646946,4753706454,0,tree,,,,,,,
-105.263857963580406,40.007898198125872,8646947,4753706455,0,tree,,,,,,,
-105.263879253614476,40.008349563611773,8646948,4753706456,0,tree,,,,,,,
