X,Y,id,osm_id,z_order,highway,name,name:en,ref,maxspeed,oneway,access,bicycle,foot,horse,motor_vehicle,motorcar,bridge,cutting,embankment,tunnel,service,toll,surface,width,construction,layer,junction,disused
-105.269767875869988,40.00447502886982,4265605,2047329181,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.264569335702745,40.008133897243113,4548472,2219538930,0,bus_stop,,,,,,,,,,,,,,,,,,,,,,,
-105.264747618783247,40.006978368071628,5067748,2501146389,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.266540843148192,40.006454666761329,5067762,2501146409,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.262007155540672,40.007295539287696,5413282,2703448401,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.260897726836617,40.006304798332593,6680967,3663245392,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.261151949959867,40.006304882151625,6680970,3663245393,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.260040006684875,40.008106991333932,8026287,4719880002,0,bus_stop,Colorado Ave & 28th St Nearside,,25464,,,,,,,,,,,,,,,,,,,,
-105.267633675683953,40.003566179108702,9389332,1151779416,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.266431543130807,40.008251579163669,9389330,1346069154,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.263093869287118,40.000975416656814,4587091,2261042722,0,turning_loop,,,,,,,,,,,,,,,,,,,,,,,
-105.272481014108223,40.005979999584611,4265523,2047280703,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.274689980870576,40.007257653085361,4265601,2047328997,0,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,
-105.265249527145272,40.006228690651767,5067751,2501146396,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.264951550487453,40.006499677581388,5067753,2501146394,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.26569192399478,40.006876779405161,5067755,2501146398,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.266320063818597,40.007344824878373,5067756,2501146404,0,street_lamp,,,,,,,,,,,,,,,,,,,,,,,
-105.261274577203309,40.006357855779697,6902824,3810756449,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
-105.26137407039397,40.006308318731925,6902826,3810756448,0,crossing,,,,,,,,,,,,,,,,,,,,,,,
